"date","Measure","Value","sex"
1948-01-01,"Total Employment (%)",56.6,"B"
1948-02-01,"Total Employment (%)",56.7,"B"
1948-03-01,"Total Employment (%)",56.1,"B"
1948-04-01,"Total Employment (%)",56.7,"B"
1948-05-01,"Total Employment (%)",56.2,"B"
1948-06-01,"Total Employment (%)",57,"B"
1948-07-01,"Total Employment (%)",57.1,"B"
1948-08-01,"Total Employment (%)",56.6,"B"
1948-09-01,"Total Employment (%)",56.6,"B"
1948-10-01,"Total Employment (%)",56.5,"B"
1948-11-01,"Total Employment (%)",56.5,"B"
1948-12-01,"Total Employment (%)",56.8,"B"
1949-01-01,"Total Employment (%)",56.2,"B"
1949-02-01,"Total Employment (%)",56.2,"B"
1949-03-01,"Total Employment (%)",56,"B"
1949-04-01,"Total Employment (%)",55.7,"B"
1949-05-01,"Total Employment (%)",55.4,"B"
1949-06-01,"Total Employment (%)",55,"B"
1949-07-01,"Total Employment (%)",55,"B"
1949-08-01,"Total Employment (%)",55.1,"B"
1949-09-01,"Total Employment (%)",55.3,"B"
1949-10-01,"Total Employment (%)",54.9,"B"
1949-11-01,"Total Employment (%)",55.6,"B"
1949-12-01,"Total Employment (%)",55.3,"B"
1950-01-01,"Total Employment (%)",55.1,"B"
1950-02-01,"Total Employment (%)",55.1,"B"
1950-03-01,"Total Employment (%)",55.1,"B"
1950-04-01,"Total Employment (%)",55.8,"B"
1950-05-01,"Total Employment (%)",55.8,"B"
1950-06-01,"Total Employment (%)",56.2,"B"
1950-07-01,"Total Employment (%)",56.1,"B"
1950-08-01,"Total Employment (%)",56.8,"B"
1950-09-01,"Total Employment (%)",56.6,"B"
1950-10-01,"Total Employment (%)",56.9,"B"
1950-11-01,"Total Employment (%)",56.9,"B"
1950-12-01,"Total Employment (%)",56.7,"B"
1951-01-01,"Total Employment (%)",56.9,"B"
1951-02-01,"Total Employment (%)",57,"B"
1951-03-01,"Total Employment (%)",57.7,"B"
1951-04-01,"Total Employment (%)",57.3,"B"
1951-05-01,"Total Employment (%)",57.6,"B"
1951-06-01,"Total Employment (%)",57.1,"B"
1951-07-01,"Total Employment (%)",57.6,"B"
1951-08-01,"Total Employment (%)",57.4,"B"
1951-09-01,"Total Employment (%)",57.1,"B"
1951-10-01,"Total Employment (%)",57.3,"B"
1951-11-01,"Total Employment (%)",57.1,"B"
1951-12-01,"Total Employment (%)",57.7,"B"
1952-01-01,"Total Employment (%)",57.7,"B"
1952-02-01,"Total Employment (%)",57.7,"B"
1952-03-01,"Total Employment (%)",57.1,"B"
1952-04-01,"Total Employment (%)",57.1,"B"
1952-05-01,"Total Employment (%)",57.3,"B"
1952-06-01,"Total Employment (%)",57.3,"B"
1952-07-01,"Total Employment (%)",57,"B"
1952-08-01,"Total Employment (%)",56.8,"B"
1952-09-01,"Total Employment (%)",57.4,"B"
1952-10-01,"Total Employment (%)",56.9,"B"
1952-11-01,"Total Employment (%)",57.5,"B"
1952-12-01,"Total Employment (%)",57.6,"B"
1953-01-01,"Total Employment (%)",57.8,"B"
1953-02-01,"Total Employment (%)",58,"B"
1953-03-01,"Total Employment (%)",58.1,"B"
1953-04-01,"Total Employment (%)",57.5,"B"
1953-05-01,"Total Employment (%)",57.1,"B"
1953-06-01,"Total Employment (%)",57.4,"B"
1953-07-01,"Total Employment (%)",57.4,"B"
1953-08-01,"Total Employment (%)",57.1,"B"
1953-09-01,"Total Employment (%)",56.8,"B"
1953-10-01,"Total Employment (%)",56.7,"B"
1953-11-01,"Total Employment (%)",56.5,"B"
1953-12-01,"Total Employment (%)",55.7,"B"
1954-01-01,"Total Employment (%)",55.7,"B"
1954-02-01,"Total Employment (%)",56.2,"B"
1954-03-01,"Total Employment (%)",55.7,"B"
1954-04-01,"Total Employment (%)",55.7,"B"
1954-05-01,"Total Employment (%)",55.4,"B"
1954-06-01,"Total Employment (%)",55.2,"B"
1954-07-01,"Total Employment (%)",55,"B"
1954-08-01,"Total Employment (%)",55.2,"B"
1954-09-01,"Total Employment (%)",55.5,"B"
1954-10-01,"Total Employment (%)",55.5,"B"
1954-11-01,"Total Employment (%)",55.5,"B"
1954-12-01,"Total Employment (%)",55.2,"B"
1955-01-01,"Total Employment (%)",55.7,"B"
1955-02-01,"Total Employment (%)",55.7,"B"
1955-03-01,"Total Employment (%)",55.8,"B"
1955-04-01,"Total Employment (%)",56.2,"B"
1955-05-01,"Total Employment (%)",56.3,"B"
1955-06-01,"Total Employment (%)",56.3,"B"
1955-07-01,"Total Employment (%)",56.9,"B"
1955-08-01,"Total Employment (%)",57.1,"B"
1955-09-01,"Total Employment (%)",57.2,"B"
1955-10-01,"Total Employment (%)",57.2,"B"
1955-11-01,"Total Employment (%)",57.4,"B"
1955-12-01,"Total Employment (%)",57.7,"B"
1956-01-01,"Total Employment (%)",57.8,"B"
1956-02-01,"Total Employment (%)",57.5,"B"
1956-03-01,"Total Employment (%)",57.3,"B"
1956-04-01,"Total Employment (%)",57.5,"B"
1956-05-01,"Total Employment (%)",57.6,"B"
1956-06-01,"Total Employment (%)",57.5,"B"
1956-07-01,"Total Employment (%)",57.5,"B"
1956-08-01,"Total Employment (%)",57.6,"B"
1956-09-01,"Total Employment (%)",57.6,"B"
1956-10-01,"Total Employment (%)",57.5,"B"
1956-11-01,"Total Employment (%)",57.3,"B"
1956-12-01,"Total Employment (%)",57.3,"B"
1957-01-01,"Total Employment (%)",57,"B"
1957-02-01,"Total Employment (%)",57.5,"B"
1957-03-01,"Total Employment (%)",57.6,"B"
1957-04-01,"Total Employment (%)",57.2,"B"
1957-05-01,"Total Employment (%)",57.1,"B"
1957-06-01,"Total Employment (%)",57.2,"B"
1957-07-01,"Total Employment (%)",57.5,"B"
1957-08-01,"Total Employment (%)",56.9,"B"
1957-09-01,"Total Employment (%)",57,"B"
1957-10-01,"Total Employment (%)",56.8,"B"
1957-11-01,"Total Employment (%)",56.4,"B"
